age,type_employer,fnlwgt,education_num,marital_status,occupation,relationship,race,sex,hr_worked_per_week,label
74,Private,260669,6,Divorced,Other-service,Not-in-family,White,Female,1,0
34,Private,115040,9,Married-civ-spouse,Craft-repair,Husband,White,Male,44,0
30,Private,143526,13,Never-married,Sales,Own-child,White,Male,40,0
20,State-gov,214542,10,Never-married,Prof-specialty,Own-child,White,Male,40,0
29,Private,264961,9,Never-married,Craft-repair,Own-child,White,Male,45,0
20,Self-emp-inc,182200,9,Never-married,Machine-op-inspct,Own-child,White,Female,30,0
37,Self-emp-inc,196123,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,1
45,Self-emp-inc,149865,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,60,1
36,State-gov,170861,9,Separated,Other-service,Own-child,White,Female,32,0
31,Private,113543,10,Married-civ-spouse,Other-service,Husband,White,Male,40,1
39,Private,164866,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,42,1
26,Local-gov,337867,13,Never-married,Prof-specialty,Own-child,Black,Female,40,0
71,Private,187493,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,1
61,Private,101500,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,0
54,Private,327769,10,Divorced,Craft-repair,Not-in-family,White,Male,40,0
40,Local-gov,39581,15,Separated,Prof-specialty,Own-child,Black,Female,40,0
54,Private,338620,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,52,1
17,Private,29571,8,Never-married,Handlers-cleaners,Own-child,White,Male,15,0
31,Private,216827,9,Separated,Other-service,Unmarried,Black,Female,40,0
30,Private,254905,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0
34,Federal-gov,341051,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,50,1
29,Private,119170,10,Separated,Tech-support,Unmarried,White,Female,40,0
42,Federal-gov,31621,12,Divorced,Adm-clerical,Not-in-family,White,Female,40,0
24,Private,399449,13,Never-married,Sales,Own-child,White,Female,40,0
36,Private,183081,10,Never-married,Exec-managerial,Not-in-family,White,Male,40,0
38,Private,126675,9,Divorced,Craft-repair,Not-in-family,White,Male,40,0
58,Local-gov,44246,5,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0
39,Self-emp-inc,543042,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50,1
56,Self-emp-not-inc,222182,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,45,0
19,Private,131615,9,Never-married,Machine-op-inspct,Own-child,White,Male,40,0
27,Private,192236,13,Never-married,Prof-specialty,Not-in-family,White,Male,45,0
46,Private,56841,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0
45,Private,101977,10,Married-civ-spouse,Sales,Husband,White,Male,45,0
40,Federal-gov,219266,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
32,Local-gov,144949,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,0
43,Private,64631,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
36,Private,191335,10,Married-civ-spouse,Craft-repair,Husband,White,Male,56,0
28,Private,51961,10,Never-married,Tech-support,Own-child,Black,Male,24,0
59,Private,98361,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
39,Private,247733,9,Divorced,Priv-house-serv,Unmarried,Black,Female,16,0
33,Private,178449,10,Never-married,Adm-clerical,Not-in-family,White,Male,49,0
35,Private,170263,10,Never-married,Tech-support,Unmarried,White,Female,40,0
19,Private,109005,10,Never-married,Prof-specialty,Own-child,White,Female,40,0
17,Private,117549,6,Never-married,Sales,Other-relative,Black,Female,12,0
50,Self-emp-inc,174855,9,Divorced,Exec-managerial,Unmarried,White,Female,40,0
36,Private,171393,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,1
49,Private,323798,10,Divorced,Exec-managerial,Not-in-family,White,Male,50,0
41,Private,149102,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,1
65,Private,83800,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,27,0
27,Private,189589,10,Divorced,Tech-support,Not-in-family,White,Female,40,0
71,Private,163385,10,Widowed,Sales,Not-in-family,White,Male,35,1
25,Private,383306,13,Never-married,Sales,Not-in-family,White,Male,40,0
21,Self-emp-not-inc,236769,4,Never-married,Craft-repair,Not-in-family,White,Male,40,0
42,Private,115085,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,50,0
30,Private,53158,12,Never-married,Tech-support,Not-in-family,White,Female,40,0
29,Private,290740,12,Never-married,Priv-house-serv,Not-in-family,White,Female,50,0
30,Private,154950,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,1
90,Self-emp-not-inc,155981,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,0
45,Private,102147,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
26,Private,222248,9,Never-married,Craft-repair,Not-in-family,White,Male,70,0
39,Private,34028,13,Divorced,Exec-managerial,Unmarried,White,Female,48,0
40,Self-emp-not-inc,238574,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,1
50,Private,213296,10,Married-civ-spouse,Craft-repair,Husband,White,Male,48,1
48,Self-emp-inc,254291,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
60,Private,113440,13,Divorced,Exec-managerial,Own-child,White,Male,60,0
46,Private,155489,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
39,Private,87556,14,Never-married,Prof-specialty,Not-in-family,White,Male,40,0
40,Private,43711,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,45,0
44,Federal-gov,251305,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,1
