Distance(mi),Street,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Weather_Condition,Amenity,Crossing,Junction,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset
0.369,large_local,79.0,74.0,29.21,10.0,Calm,Fair,False,False,False,False,False,False,False,True,Day
0.0,Highway,48.0,50.0,29.64,10.0,NW,Fair,False,False,True,False,False,False,False,False,Night
0.0,Interstate,88.0,40.0,30.1,10.0,NW,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.0,Highway,59.0,44.0,29.07,10.0,NW,Fair,False,False,False,False,False,False,False,False,Day
0.0,Beltway,30.0,30.0,30.22,10.0,NW,Fair,False,False,False,False,False,False,False,False,Day
0.0,large_local,72.5,93.0,30.02,10.0,Calm,Clear,False,False,True,False,False,False,False,False,Day
1.315,local,59.0,95.0,29.45,8.0,SW,Drizzle,False,False,True,False,False,False,False,False,Day
0.75,Beltway,50.0,54.0,30.05,10.0,NW,Mostly Cloudy,False,False,True,False,False,False,False,False,Night
0.0,Beltway,55.0,33.0,29.84,10.0,NW,Fair,False,False,True,False,False,False,False,False,Day
0.0,Interstate,78.8,74.0,30.16,10.0,SE,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.0,Interstate,70.0,100.0,29.9,2.0,NE,Cloudy,False,False,False,False,False,False,False,False,Day
0.0,Highway,28.0,58.0,29.93,10.0,Calm,Partly Cloudy,False,False,False,False,False,False,False,False,Night
0.0,Highway,37.9,68.0,30.51,10.0,SE,Drizzle,False,False,False,False,False,False,False,False,Day
1.9099999666213991,Beltway,46.9,54.0,29.91,10.0,NW,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
1.75,local,26.6,100.0,30.2,7.0,Calm,Clear,False,False,False,False,False,False,False,False,Night
0.01,local,45.0,58.0,30.1,10.0,W,Partly Cloudy,False,False,False,False,False,False,False,False,Day
0.0,Highway,72.0,35.0,29.78,10.0,NE,Fair,False,False,True,False,False,False,False,False,Day
0.0,Beltway,83.1,50.0,29.99,10.0,S,Clear,False,False,False,False,False,False,False,False,Day
0.01,large_local,44.6,100.0,29.61,2.0,Calm,Overcast,False,False,False,False,False,False,False,False,Day
0.0,Beltway,40.0,46.0,29.77,10.0,SW,Fair,False,False,False,False,False,False,False,False,Night
0.0,Highway,28.4,74.0,30.09,10.0,SW,Partly Cloudy,False,False,False,False,False,False,False,False,Night
0.0,large_local,80.1,76.0,29.94,10.0,NW,Clear,False,False,False,False,False,False,False,False,Day
0.065,local,59.0,67.0,29.48,10.0,SE,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.01,local,66.2,35.0,30.32,10.0,N,Clear,False,False,False,False,False,False,False,True,Day
0.0,Interstate,48.0,74.0,29.9,10.0,E,Cloudy,False,False,True,False,False,False,False,False,Night
0.0,large_local,71.6,50.0,30.3,10.0,E,Clear,False,False,False,False,False,False,False,True,Day
0.0099999997764825,Beltway,86.0,55.0,29.94,10.0,S,Scattered Clouds,False,False,False,False,False,False,False,False,Day
0.0,local,30.0,61.0,29.92,10.0,W,Clear,False,False,False,False,False,False,False,False,Night
0.0,Beltway,81.0,47.0,30.17,10.0,Calm,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.0,Interstate,59.0,96.0,30.33,9.0,NE,Drizzle,False,False,False,False,False,False,False,False,Day
0.06,Highway,46.4,100.0,30.34,5.0,S,Overcast,False,False,False,False,False,False,False,False,Day
0.0,Interstate,35.0,92.0,29.62,3.0,NE,Drizzle,False,False,False,False,False,False,False,False,Night
0.0,large_local,41.0,96.0,30.19,10.0,SE,Clear,False,False,False,False,False,False,False,False,Day
0.198,local,54.0,44.0,29.81,10.0,Calm,Fair,False,True,False,False,True,False,False,True,Night
0.0,local,57.7,27.0,30.45,10.0,SE,Clear,False,False,False,False,False,False,False,False,Day
0.01,large_local,44.2,51.0,29.77,10.0,NW,Overcast,False,False,True,False,False,False,False,False,Night
0.0,Interstate,77.0,38.0,29.05,10.0,NW,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.0,Beltway,63.0,82.0,29.9,10.0,E,Mostly Cloudy,False,False,True,False,False,False,False,False,Day
0.01,Interstate,34.0,46.0,29.96,10.0,NW,Overcast,False,False,False,False,False,False,False,False,Night
0.0,large_local,81.0,30.0,29.94,10.0,SE,Partly Cloudy,False,False,False,False,False,False,False,False,Day
0.0,local,30.9,57.0,30.45,10.0,W,Scattered Clouds,False,False,True,False,False,False,False,False,Day
0.0,Interstate,75.9,64.0,29.94,10.0,NW,Partly Cloudy,False,False,False,False,False,False,False,False,Day
0.904,Interstate,50.0,82.0,30.03,10.0,Calm,Mostly Cloudy,False,False,True,False,False,False,False,False,Night
0.0,local,78.8,74.0,29.89,10.0,Calm,Scattered Clouds,False,False,True,False,False,False,False,False,Day
0.01,Beltway,41.0,67.0,30.14,10.0,SW,Mostly Cloudy,False,False,False,False,False,False,False,False,Night
0.0,Beltway,66.6,89.0,29.93,10.0,Calm,Scattered Clouds,False,False,False,False,False,False,False,False,Day
0.0,Beltway,59.0,43.0,29.92,10.0,N,Fair,False,False,True,False,False,False,False,False,Day
0.0,Beltway,52.0,65.0,29.79,10.0,Calm,Fair,False,False,True,False,False,False,False,False,Night
0.0,Interstate,44.6,76.0,30.02,10.0,Calm,Clear,False,False,False,False,False,False,False,False,Night
0.0,large_local,50.0,94.0,29.34,5.0,NE,Fair,False,False,True,False,False,False,False,False,Night
0.01,large_local,68.0,40.0,29.99,10.0,SW,Scattered Clouds,False,False,False,False,False,False,False,False,Day
